image,width_px,height_px,num_channels,source_file,recovery_file,recovered,acquisition_id,acquisition_description,acquisition_start_x_um,acquisition_start_y_um,acquisition_end_x_um,acquisition_end_y_um,acquisition_width_um,acquisition_height_um
10123869-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123869-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,26865.0,19630.0,27465.0,19030.0,600.0,600.0
10123869-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123869-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,31861.0,18403.0,32461.0,17803.0,600.0,600.0
10123869-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123869-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,26793.0,18675.0,27393.0,18075.0,600.0,600.0
10123868-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123868-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,37048.0,9340.0,37648.0,8740.0,600.0,600.0
10123868-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123868-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,38627.0,10899.0,39227.0,10299.0,600.0,600.0
10123868-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123868-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,39791.0,12329.0,40391.0,11729.0,600.0,600.0
10123865-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123865-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,40431.0,17343.0,41031.0,16743.0,600.0,600.0
10123865-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123865-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,33504.0,14823.0,34104.0,14223.0,600.0,600.0
10123865-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123865-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,45858.0,9384.0,46458.0,8784.0,600.0,600.0
10123864-USL-VAR-TIS-01-IMC-02_001.tiff,600,600,44,10123864-USL-VAR-TIS-01-IMC-02.mcd,,False,1,pos1_1_Na,29311.0,17665.0,29911.0,17065.0,600.0,600.0
10123864-USL-VAR-TIS-01-IMC-02_002.tiff,600,600,44,10123864-USL-VAR-TIS-01-IMC-02.mcd,,False,2,pos1_2_Na,29798.0,15326.0,30398.0,14726.0,600.0,600.0
10123864-USL-VAR-TIS-01-IMC-02_003.tiff,600,600,44,10123864-USL-VAR-TIS-01-IMC-02.mcd,,False,3,pos1_3_Na,41679.0,13860.0,42279.0,13260.0,600.0,600.0
