Object,panCK,HistoneH3,SMA,CD7,CD11b,Arg1,CD146,EGFR,CD45,CD31,MMP9,CD20,CD204,p53,CD3,Lamp3,CD11c,PD1,CD73,Bcl2,GATA3,CD155,CD10,NKG2A,FOXP3,CXCL13,CD8a,EOMES,CD137,CD134,CD209,CD56,Tbet,GITR,Ecad,Tim3,CXCL8,CD66b,DNA1,DNA2,Ki67,Podoplanin,IgG,CD15
1,0.2,2.433333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.6,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.2,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,4.316666666666666,9.55,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.0
2,0.05555555555555555,1.5694444444444444,0.4444444444444444,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.0,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.0,0.05555555555555555,0.4861111111111111,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,7.944444444444445,13.61111111111111,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.05555555555555555
3,1.0,2.361111111111111,0.16666666666666666,0.0,0.16666666666666666,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.05555555555555555,0.7222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,2.9166666666666665,0.05555555555555555,0.0,0.0,3.6944444444444446,9.0,0.3333333333333333,0.05555555555555555,0.16666666666666666,0.05555555555555555
4,0.45454545454545453,4.8977272727272725,0.4090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.0,0.18181818181818182,0.09090909090909091,0.13636363636363635,0.0,0.6363636363636364,0.0,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,3.25,0.22727272727272727,0.0,0.045454545454545456,12.920454545454545,20.488636363636363,0.09090909090909091,0.18181818181818182,0.13636363636363635,0.22727272727272727
5,0.0,1.5833333333333333,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.25,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,0.4166666666666667,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.25,0.25,0.0,0.0,5.333333333333333,11.541666666666666,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333
6,0.1,0.5,0.0,0.0,0.0,0.1,0.2,0.1,0.4,0.7,0.0,0.0,0.5,0.0,0.2,0.0,0.2,0.0,0.1,0.1,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.85,5.85,0.1,0.5,0.3,0.0
7,0.10256410256410256,2.4038461538461537,0.38461538461538464,0.05128205128205128,0.0,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.1794871794871795,0.02564102564102564,0.0,0.02564102564102564,0.07692307692307693,0.0,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0,18.21794871794872,35.09615384615385,1.0256410256410255,0.7692307692307693,0.7051282051282052,0.02564102564102564
8,0.08333333333333333,2.4166666666666665,0.25,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,5.25,10.208333333333334,0.5,0.5833333333333334,0.5,0.08333333333333333
9,0.0,3.6875,0.0,0.0,0.125,1.25,0.125,0.125,0.25,1.40625,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.125,0.0,0.0,0.25,0.0,0.0,0.125,0.5,0.125,0.125,10.25,20.09375,0.125,0.375,0.625,0.125
10,0.08695652173913043,3.4239130434782608,0.30434782608695654,0.043478260869565216,0.22826086956521738,0.17391304347826086,0.0,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,0.13043478260869565,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.13043478260869565,0.30434782608695654,0.0,0.0,0.0,10.652173913043478,21.532608695652176,0.21739130434782608,0.30434782608695654,0.30434782608695654,0.0
11,0.4222222222222222,4.516666666666667,0.6444444444444445,0.022222222222222223,0.0,0.044444444444444446,0.044444444444444446,0.13333333333333333,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.0,0.022222222222222223,0.08888888888888889,0.0,0.022222222222222223,0.0,0.08888888888888889,0.0,0.044444444444444446,0.0,0.5111111111111111,0.022222222222222223,0.0,0.022222222222222223,0.0,0.022222222222222223,0.0,0.044444444444444446,0.022222222222222223,0.0,0.022222222222222223,0.044444444444444446,0.06666666666666667,2.7555555555555555,0.15555555555555556,0.0,0.0,10.188888888888888,19.788888888888888,0.42777777777777776,0.1111111111111111,0.2222222222222222,0.28888888888888886
12,0.2196969696969697,3.3257575757575757,0.42424242424242425,0.030303030303030304,0.030303030303030304,0.24242424242424243,0.09090909090909091,0.030303030303030304,0.12121212121212122,0.6136363636363636,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.06060606060606061,0.0,0.21212121212121213,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.12121212121212122,0.030303030303030304,0.0,22.015151515151516,38.93181818181818,0.12121212121212122,0.09090909090909091,0.3333333333333333,0.0
13,0.16129032258064516,3.4274193548387095,0.22580645161290322,0.2903225806451613,0.06451612903225806,0.03225806451612903,0.16129032258064516,0.06451612903225806,0.8064516129032258,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.22580645161290322,0.0,0.0,0.22580645161290322,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.25806451612903225,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.6774193548387096,4.854838709677419,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.0,0.0,15.209677419354838,31.669354838709676,0.49193548387096775,0.5161290322580645,0.41935483870967744,0.03225806451612903
14,0.05714285714285714,3.242857142857143,0.2857142857142857,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.0,0.05714285714285714,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,15.635714285714286,29.15,1.2428571428571429,0.9785714285714285,1.1642857142857144,0.0
15,0.0967741935483871,3.1129032258064515,0.16129032258064516,0.9032258064516129,0.0,0.03225806451612903,0.03225806451612903,0.0,0.41935483870967744,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.4274193548387097,0.03225806451612903,0.0,0.03225806451612903,0.0,0.12903225806451613,0.2903225806451613,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.2903225806451613,0.12903225806451613,0.0,0.0,0.03225806451612903,0.2903225806451613,0.03225806451612903,0.0,0.0,0.3870967741935484,0.03225806451612903,0.1935483870967742,0.0,0.0,18.943548387096776,33.50806451612903,0.3548387096774194,0.9758064516129032,0.6129032258064516,0.03225806451612903
16,0.0,3.2934782608695654,0.17391304347826086,0.0,0.043478260869565216,0.30434782608695654,0.17391304347826086,0.0,0.34782608695652173,0.391304347826087,0.0,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.13043478260869565,0.0,0.043478260869565216,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.391304347826087,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.21739130434782608,0.043478260869565216,0.0,6.934782608695652,15.054347826086957,0.30434782608695654,0.34782608695652173,0.43478260869565216,0.043478260869565216
17,0.608433734939759,3.4909638554216866,0.3132530120481928,0.18072289156626506,0.03614457831325301,0.024096385542168676,0.03614457831325301,0.10843373493975904,0.3885542168674699,0.060240963855421686,0.012048192771084338,0.012048192771084338,0.024096385542168676,0.08433734939759036,0.3253012048192771,0.012048192771084338,0.04819277108433735,0.09337349397590361,0.03614457831325301,0.03614457831325301,0.0,0.42168674698795183,0.08433734939759036,0.0,0.07228915662650602,0.12048192771084337,1.3975903614457832,0.024096385542168676,0.012048192771084338,0.024096385542168676,0.0,0.03614457831325301,0.012048192771084338,0.08433734939759036,2.683734939759036,0.1927710843373494,0.0,0.0,7.6656626506024095,14.11144578313253,0.4939759036144578,0.1686746987951807,0.10843373493975904,0.9849397590361446
18,0.2727272727272727,1.3636363636363635,0.5454545454545454,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.13636363636363635,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0,0.045454545454545456,0.2727272727272727,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,5.386363636363637,12.772727272727273,0.0,0.045454545454545456,0.045454545454545456,0.13636363636363635
19,0.16666666666666666,3.613095238095238,0.23809523809523808,0.047619047619047616,0.05357142857142857,0.35714285714285715,0.11904761904761904,0.023809523809523808,0.35714285714285715,0.07142857142857142,0.0,0.0,0.14285714285714285,0.023809523809523808,0.09523809523809523,0.0,0.07142857142857142,0.07142857142857142,0.09523809523809523,0.11904761904761904,0.047619047619047616,0.30952380952380953,0.11904761904761904,0.023809523809523808,0.09523809523809523,0.09523809523809523,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.023809523809523808,0.19047619047619047,0.0,0.0,14.333333333333334,27.452380952380953,0.11904761904761904,0.30952380952380953,0.9345238095238095,0.09523809523809523
20,0.4523809523809524,7.178571428571429,0.6190476190476191,0.023809523809523808,0.0,0.023809523809523808,0.023809523809523808,0.07142857142857142,0.09523809523809523,0.023809523809523808,0.0,0.023809523809523808,0.023809523809523808,0.21428571428571427,0.0,0.0,0.0,0.11904761904761904,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.7619047619047619,0.10714285714285714,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.047619047619047616,3.994047619047619,0.16666666666666666,0.023809523809523808,0.0,15.023809523809524,31.952380952380953,0.11904761904761904,0.21428571428571427,0.07142857142857142,0.6547619047619048
21,0.05128205128205128,3.423076923076923,0.28205128205128205,0.0,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.05128205128205128,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.0,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.0,0.0,0.07692307692307693,0.05128205128205128,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.10256410256410256,0.05128205128205128,0.02564102564102564,0.0,9.403846153846153,19.94871794871795,1.4615384615384615,1.2564102564102564,1.0,0.05128205128205128
22,0.20833333333333334,1.65625,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.16666666666666666,0.0,0.0,0.125,0.041666666666666664,0.0,0.041666666666666664,0.4583333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,7.802083333333333,14.010416666666666,0.8333333333333334,0.625,0.7916666666666666,0.08333333333333333
23,0.0,2.638888888888889,0.0,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,1.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,1.5833333333333333,2.861111111111111,0.3333333333333333,0.3611111111111111,1.0833333333333333,0.1111111111111111
