Object,panCK,HistoneH3,SMA,CD7,CD11b,Arg1,CD146,EGFR,CD45,CD31,MMP9,CD20,CD204,p53,CD3,Lamp3,CD11c,PD1,CD73,Bcl2,GATA3,CD155,CD10,NKG2A,FOXP3,CXCL13,CD8a,EOMES,CD137,CD134,CD209,CD56,Tbet,GITR,Ecad,Tim3,CXCL8,CD66b,DNA1,DNA2,Ki67,Podoplanin,IgG,CD15
1,0.27586206896551724,3.146551724137931,0.20689655172413793,0.0,0.034482758620689655,0.0,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.06896551724137931,0.0,0.0,0.034482758620689655,0.1724137931034483,0.10344827586206896,0.1724137931034483,0.10344827586206896,0.41379310344827586,0.034482758620689655,0.0,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.0,0.0,0.0,0.0,0.034482758620689655,0.33620689655172414,0.0,2.1120689655172415,0.0,0.0,0.0,5.879310344827586,10.28448275862069,0.2413793103448276,0.06896551724137931,0.13793103448275862,0.1724137931034483
2,0.18518518518518517,2.2685185185185186,0.2222222222222222,0.0,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.6296296296296297,0.037037037037037035,0.0,0.07407407407407407,0.07407407407407407,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.1388888888888889,4.296296296296297,0.3148148148148148,0.0,0.0,4.185185185185185,6.574074074074074,1.1481481481481481,0.1111111111111111,0.2222222222222222,0.14814814814814814
3,0.3333333333333333,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.23809523809523808,0.09523809523809523,0.42857142857142855,0.047619047619047616,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.19047619047619047,0.0,0.23809523809523808,0.0,0.0,0.19047619047619047,0.09523809523809523,0.0,0.0,0.047619047619047616,0.27380952380952384,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.2857142857142857,0.09523809523809523,0.0,0.0,5.178571428571429,12.321428571428571,0.42857142857142855,0.5238095238095238,0.5238095238095238,0.047619047619047616
4,0.16666666666666666,2.3472222222222223,0.3055555555555556,0.027777777777777776,3.5,2.3472222222222223,0.05555555555555555,0.1388888888888889,0.6111111111111112,0.05555555555555555,0.6597222222222222,0.0,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.0,0.08333333333333333,0.08333333333333333,0.1388888888888889,0.0,0.08333333333333333,0.3888888888888889,0.5,0.05555555555555555,0.08333333333333333,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.027777777777777776,0.05555555555555555,2.8680555555555554,0.05555555555555555,0.6111111111111112,4.777777777777778,6.958333333333333,10.0625,0.16666666666666666,0.2222222222222222,0.08333333333333333,4.194444444444445
5,0.3875,2.81875,0.225,0.05,0.05,0.05,0.15,0.675,0.0,0.05,0.025,0.0,0.0,0.1,0.0,0.0,0.025,0.1,0.075,0.175,0.0,0.75,0.05,0.025,0.1,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.05,0.2,5.36875,0.25,0.0,0.0,7.1625,13.8875,0.45,0.1,0.125,0.175
6,0.2222222222222222,0.4074074074074074,0.07407407407407407,0.037037037037037035,0.25925925925925924,0.2222222222222222,0.14814814814814814,0.07407407407407407,0.5555555555555556,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.037037037037037035,0.1111111111111111,0.0,0.0,0.2222222222222222,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.14814814814814814,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.9629629629629629,1.0740740740740742,0.037037037037037035,0.037037037037037035,3.75,7.25,0.1111111111111111,0.037037037037037035,0.5185185185185185,0.48148148148148145
7,0.42424242424242425,1.0378787878787878,0.09090909090909091,0.030303030303030304,0.09090909090909091,0.15151515151515152,0.06060606060606061,0.15151515151515152,0.06060606060606061,0.09090909090909091,0.0,0.0,0.9621212121212122,0.0,0.0,0.0,0.3333333333333333,0.09090909090909091,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.18181818181818182,0.030303030303030304,0.0,0.06060606060606061,0.0,0.12121212121212122,0.06060606060606061,0.0,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.030303030303030304,0.030303030303030304,1.4015151515151516,0.48484848484848486,0.0,0.0,3.4696969696969697,5.575757575757576,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.15151515151515152
8,0.2,2.0833333333333335,0.03333333333333333,0.0,1.6333333333333333,2.625,0.06666666666666667,0.06666666666666667,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.06666666666666667,0.23333333333333334,0.13333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.1,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.06666666666666667,1.2666666666666666,1.5333333333333334,8.1,15.7,0.06666666666666667,0.16666666666666666,0.16666666666666666,2.0416666666666665
9,0.10810810810810811,2.9662162162162162,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.2702702702702703,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.05405405405405406,0.0,0.0,0.0,0.16216216216216217,0.13513513513513514,0.3783783783783784,0.02702702702702703,1.0,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.05405405405405406,0.0,0.02702702702702703,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.10810810810810811,7.108108108108108,0.21621621621621623,0.0,0.05405405405405406,9.22972972972973,17.83108108108108,0.7567567567567568,0.21621621621621623,0.10810810810810811,0.3716216216216216
10,1.2983870967741935,1.3064516129032258,0.0967741935483871,0.0,0.16129032258064516,0.0,0.0,0.22580645161290322,0.06451612903225806,0.06451612903225806,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0,0.5483870967741935,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.12903225806451613,0.0,0.6129032258064516,0.1935483870967742,0.06451612903225806,0.12903225806451613,0.0,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.03225806451612903,0.0,0.0,0.06451612903225806,0.22580645161290322,4.040322580645161,0.3548387096774194,0.0,0.0,3.532258064516129,6.725806451612903,0.0,0.22580645161290322,0.1935483870967742,0.16129032258064516
11,0.3333333333333333,1.5297619047619047,0.11904761904761904,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.42857142857142855,0.047619047619047616,0.023809523809523808,0.0,0.0,0.09523809523809523,0.21428571428571427,0.047619047619047616,0.0,0.0,0.07142857142857142,0.14285714285714285,0.2619047619047619,0.047619047619047616,0.8630952380952381,0.11904761904761904,0.0,0.047619047619047616,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.023809523809523808,3.892857142857143,0.16666666666666666,0.023809523809523808,0.0,3.607142857142857,7.440476190476191,0.35714285714285715,0.047619047619047616,0.11904761904761904,0.5952380952380952
12,0.2571428571428571,4.121428571428571,0.4,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.22857142857142856,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.08571428571428572,0.2,0.02857142857142857,0.6357142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.11428571428571428,0.0,0.0,0.0,0.02857142857142857,0.05714285714285714,4.135714285714286,0.2857142857142857,0.0,0.0,9.257142857142858,18.764285714285716,1.1785714285714286,0.2,0.08571428571428572,0.11428571428571428
13,0.23809523809523808,4.029761904761905,0.2619047619047619,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.07142857142857142,0.2857142857142857,0.023809523809523808,0.07142857142857142,0.0,0.047619047619047616,0.023809523809523808,0.23809523809523808,0.023809523809523808,0.0,0.023809523809523808,0.09523809523809523,0.07142857142857142,0.09523809523809523,0.023809523809523808,0.5238095238095238,0.14285714285714285,0.023809523809523808,0.047619047619047616,0.07142857142857142,0.0,0.0,0.047619047619047616,0.0,0.023809523809523808,0.0,0.023809523809523808,0.07142857142857142,4.017857142857143,0.5892857142857143,0.023809523809523808,0.023809523809523808,8.279761904761905,16.773809523809526,0.7619047619047619,0.14285714285714285,0.07142857142857142,0.20238095238095238
14,0.14666666666666667,2.1433333333333335,0.22666666666666666,0.013333333333333334,0.0,0.02666666666666667,0.06666666666666667,0.22666666666666666,0.05333333333333334,0.05333333333333334,0.013333333333333334,0.0,0.02666666666666667,0.14666666666666667,0.02666666666666667,0.0,0.04,0.12,0.04,0.21333333333333335,0.02666666666666667,0.55,0.06666666666666667,0.0,0.04,0.04,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,2.91,0.13333333333333333,0.02666666666666667,0.02666666666666667,7.833333333333333,15.043333333333333,1.0266666666666666,0.12,0.23666666666666666,0.14666666666666667
15,0.13114754098360656,1.8155737704918034,0.11475409836065574,0.01639344262295082,0.7336065573770492,2.4221311475409837,0.06557377049180328,0.13114754098360656,0.04918032786885246,0.01639344262295082,0.16393442622950818,0.0,0.0,0.11475409836065574,0.0,0.03278688524590164,0.16393442622950818,0.09836065573770492,0.21311475409836064,0.01639344262295082,0.04918032786885246,0.3442622950819672,0.5245901639344263,0.0,0.04918032786885246,0.040983606557377046,0.0,0.01639344262295082,0.04918032786885246,0.0,0.0,0.04918032786885246,0.03278688524590164,0.06557377049180328,1.860655737704918,0.08196721311475409,0.4262295081967213,0.36065573770491804,4.877049180327869,9.405737704918034,0.06557377049180328,0.04918032786885246,0.14754098360655737,0.26229508196721313
16,0.07142857142857142,1.7857142857142858,0.3333333333333333,0.0,0.023809523809523808,0.0,0.09523809523809523,0.35714285714285715,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.16666666666666666,0.023809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.16666666666666666,0.023809523809523808,0.9404761904761905,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.047619047619047616,0.11904761904761904,8.351190476190476,0.30952380952380953,0.023809523809523808,0.047619047619047616,8.464285714285714,13.363095238095237,1.5119047619047619,0.14285714285714285,0.14285714285714285,0.3333333333333333
17,0.21052631578947367,2.111842105263158,0.23684210526315788,0.02631578947368421,0.13157894736842105,0.0,0.07894736842105263,0.3684210526315789,0.0,0.05263157894736842,0.0,0.0,0.13157894736842105,0.02631578947368421,0.0,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.02631578947368421,0.2631578947368421,0.0,0.7631578947368421,0.21052631578947367,0.02631578947368421,0.07894736842105263,0.10526315789473684,0.0,0.02631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.07894736842105263,2.960526315789474,0.13157894736842105,0.02631578947368421,0.02631578947368421,6.131578947368421,10.493421052631579,0.42105263157894735,0.2631578947368421,0.18421052631578946,0.2894736842105263
