"Model","Accuracy","Kappa","Test_mlogloss"
"XGBoost",0.994180559924505,0.976052113929335,0.0269043826171663
"Random Forest",0.98411450141554,0.933777710998868,0.082615561742635
"LightGBM",0.99512425290972,0.979912590856702,0.020619858929147
