Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
1,25,1.12,190.2,8.805114968894898,3.709386793601201,0.9069323169544841
2,35,1.3142857142857143,12.8,10.656917124567368,4.206592863892553,0.9187976482747741
3,35,1.3142857142857143,105.97142857142858,10.97320519824814,4.119068688528203,0.9268729616826014
4,25,1.2,275.84,8.066305309484143,4.055258148896065,0.864437398848562
5,40,1.675,180.725,10.03969201776284,5.244481307857726,0.8527160440503125
6,35,1.8,205.4857142857143,8.246909461053221,5.639358287270927,0.7296556687902438
7,27,1.5555555555555556,241.11111111111111,7.811725553869512,4.378866832323127,0.828120228558902
8,35,2.0,248.0,8.0,5.656854249492381,0.7071067811865476
9,25,1.68,392.16,6.5831470541198795,4.871773277137674,0.6725660121035715
10,35,1.7428571428571429,470.4,8.568214433815005,5.258655390706357,0.7895082578246713
11,12,1.6666666666666667,195.75,4.167620293867669,3.631321610887408,0.4907192147942729
12,29,1.793103448275862,233.44827586206895,7.330196527669654,5.067390333027617,0.7225645336308486
13,32,2.59375,533.1875,7.814663699621552,5.676962767344629,0.6872192790467726
14,35,1.8571428571428572,591.4285714285714,8.477737962293176,5.221365043764337,0.7878311419123012
15,8,2.125,24.125,3.4641016151377544,2.7386127875258306,0.6123724356957945
16,25,2.28,380.4,6.054890476856964,5.291871248742438,0.4859565238837526
17,74,2.8378378378378377,170.27027027027026,13.924199604143427,6.989385404671229,0.8648910790599399
18,46,3.152173913043478,282.9347826086956,7.901839775874644,7.441991292294732,0.33616002255184374
19,50,2.76,431.48,9.036006347119534,7.165374330404204,0.6092473763082018
20,46,2.847826086956522,513.9347826086956,8.744593683433456,6.7988199540238075,0.6288973071938484
21,27,3.1481481481481484,70.88888888888889,7.073823254528085,4.846277106478603,0.7284489248031771
22,122,3.721311475409836,153.79508196721312,17.3867070714701,9.285155228465301,0.8454607307173427
23,47,3.106382978723404,311.29787234042556,8.764057581864728,6.821051282968261,0.6278946780720707
24,100,4.05,487.41,15.053790456508485,9.10899516365741,0.7961521753077236
25,80,5.325,538.575,13.841513936589198,7.472114288687437,0.8417717535204483
26,42,4.523809523809524,37.11904761904762,7.990998883151103,6.852424989206216,0.5144540442148922
27,75,3.8,46.45333333333333,13.586382673307513,7.2047688889608565,0.847814203341489
28,46,4.869565217391305,64.17391304347827,8.428959210107916,7.017120579547547,0.554022898681632
29,60,4.85,80.11666666666666,12.007600344770452,6.43219165726769,0.8444231636761607
30,126,3.8968253968253967,135.78571428571428,16.76377690393091,9.963790406476194,0.8041959259286543
