Object,panCK,HistoneH3,SMA,CD7,CD11b,Arg1,CD146,EGFR,CD45,CD31,MMP9,CD20,CD204,p53,CD3,Lamp3,CD11c,PD1,CD73,Bcl2,GATA3,CD155,CD10,NKG2A,FOXP3,CXCL13,CD8a,EOMES,CD137,CD134,CD209,CD56,Tbet,GITR,Ecad,Tim3,CXCL8,CD66b,DNA1,DNA2,Ki67,Podoplanin,IgG,CD15
1,0.2,9.05,3.1,0.0,0.0,0.0,0.2,0.3,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,14.175,26.425,0.9,0.7,1.275,0.3
2,0.5,8.59375,0.625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,11.4375,21.15625,4.75,3.1875,4.1875,0.0
3,0.18181818181818182,3.659090909090909,0.6363636363636364,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.25,0.0,0.09090909090909091,0.0,14.704545454545455,30.65909090909091,1.3636363636363635,2.1363636363636362,1.5681818181818181,0.09090909090909091
4,0.6875,9.59375,1.5,0.0625,0.0625,0.1875,0.25,0.125,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.1875,0.0,0.125,0.125,0.0625,0.125,0.640625,0.625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.125,3.109375,0.3125,0.0625,0.0,22.21875,38.15625,0.625,1.65625,1.25,4.65625
5,0.4838709677419355,6.274193548387097,0.967741935483871,0.0,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.0,0.03225806451612903,0.3870967741935484,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.3064516129032258,0.1935483870967742,0.0967741935483871,0.0,0.03225806451612903,0.3870967741935484,0.12903225806451613,0.0,0.0,0.06451612903225806,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0967741935483871,0.03225806451612903,0.0,1.6290322580645162,0.2903225806451613,0.0,0.0,15.693548387096774,31.39516129032258,1.0564516129032258,1.2661290322580645,1.2338709677419355,2.1774193548387095
6,0.2,5.066666666666666,0.6666666666666666,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.7333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,12.466666666666667,24.666666666666668,1.3333333333333333,1.2,0.7333333333333333,1.55
7,1.3333333333333333,3.2708333333333335,1.0833333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,1.1666666666666667,2.375,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.4166666666666667,22.3125,0.4166666666666667,0.0,0.08333333333333333,11.833333333333334,23.416666666666668,0.25,0.5833333333333334,0.4166666666666667,4.125
8,1.5714285714285714,2.0714285714285716,0.2857142857142857,0.0,0.0,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.0,1.2857142857142858,20.321428571428573,0.8571428571428571,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,25.892857142857142,0.35714285714285715,0.07142857142857142,0.21428571428571427,5.25,9.642857142857142,0.14285714285714285,0.42857142857142855,0.7142857142857143,12.714285714285714
9,0.05263157894736842,6.894736842105263,0.5789473684210527,0.0,0.0,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.0,0.0,25.342105263157894,50.473684210526315,0.2631578947368421,0.2631578947368421,1.105263157894737,0.05263157894736842
10,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9375,0.5625,0.0,0.0,0.0,0.75,0.0,0.0,6.5625,20.25,11.6875,13.8125,9.6875,0.25
