Object,panCK,HistoneH3,SMA,CD7,CD11b,Arg1,CD146,EGFR,CD45,CD31,MMP9,CD20,CD204,p53,CD3,Lamp3,CD11c,PD1,CD73,Bcl2,GATA3,CD155,CD10,NKG2A,FOXP3,CXCL13,CD8a,EOMES,CD137,CD134,CD209,CD56,Tbet,GITR,Ecad,Tim3,CXCL8,CD66b,DNA1,DNA2,Ki67,Podoplanin,IgG,CD15
1,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,4.875,8.625,0.0,0.0,0.16666666666666666,0.3333333333333333
2,0.75,1.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.8214285714285714,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,2.892857142857143,3.1785714285714284,0.0,0.2857142857142857,0.14285714285714285,0.0
3,0.16666666666666666,1.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.75,0.0,0.0,0.25,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.0,2.1875,4.125,0.0,0.0,0.08333333333333333,0.16666666666666666
4,0.0,2.578125,0.140625,0.125,0.25,0.375,0.25,0.125,0.125,0.0,0.0,0.0,0.25,0.125,0.0625,0.0,0.875,0.0625,0.125,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0,0.125,0.0,0.25,0.1875,0.0,0.0,8.453125,16.34375,0.0,0.1875,0.3125,0.125
5,0.6,2.25,0.3,0.06666666666666667,0.03333333333333333,0.2,0.16666666666666666,0.2,0.03333333333333333,0.13333333333333333,0.0,0.0,0.03333333333333333,0.16666666666666666,0.0,0.0,0.03333333333333333,0.2,0.16666666666666666,0.1,0.1,0.9166666666666666,0.13333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.1,0.03333333333333333,0.23333333333333334,9.791666666666666,0.6,0.0,0.06666666666666667,5.091666666666667,9.191666666666666,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.4666666666666667
6,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,2.642857142857143,5.5,0.0,0.0,0.0,0.14285714285714285
7,0.29411764705882354,0.8970588235294118,0.14705882352941177,0.0,0.23529411764705882,0.38235294117647056,0.14705882352941177,0.029411764705882353,0.35294117647058826,0.029411764705882353,0.0,0.0,0.029411764705882353,0.058823529411764705,0.0,0.058823529411764705,0.8823529411764706,0.17647058823529413,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.23529411764705882,0.029411764705882353,0.029411764705882353,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.17647058823529413,0.3235294117647059,0.029411764705882353,0.058823529411764705,4.132352941176471,8.132352941176471,0.11764705882352941,0.058823529411764705,0.2647058823529412,0.0
8,0.5333333333333333,1.3666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.4,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.1,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.4,0.1,0.03333333333333333,0.3333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.2,3.658333333333333,0.16666666666666666,0.0,0.03333333333333333,6.325,10.3,0.06666666666666667,0.1,0.13333333333333333,0.1
9,0.8295454545454546,0.5681818181818182,0.06818181818181818,0.022727272727272728,0.0,0.18181818181818182,0.022727272727272728,0.1590909090909091,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.22727272727272727,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.13636363636363635,0.4090909090909091,0.045454545454545456,0.045454545454545456,0.3409090909090909,0.045454545454545456,0.022727272727272728,0.0,0.09090909090909091,0.022727272727272728,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.022727272727272728,0.045454545454545456,2.102272727272727,0.09090909090909091,0.022727272727272728,0.0,7.0625,14.386363636363637,0.022727272727272728,0.09090909090909091,0.13636363636363635,0.20454545454545456
10,0.9047619047619048,0.6666666666666666,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.40476190476190477,0.0,0.047619047619047616,0.0,0.2857142857142857,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.38095238095238093,0.047619047619047616,0.0,0.19047619047619047,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.38095238095238093,8.75,0.19047619047619047,0.0,0.047619047619047616,3.0714285714285716,6.654761904761905,0.09523809523809523,0.0,0.14285714285714285,0.42857142857142855
11,0.11764705882352941,0.4117647058823529,1.9411764705882353,0.0,0.0,0.07352941176470588,0.6470588235294118,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.17647058823529413,0.6470588235294118,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.6470588235294118,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,3.8676470588235294,6.985294117647059,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.0
12,1.6145833333333333,0.6666666666666666,0.0,0.08333333333333333,0.0,0.041666666666666664,0.2916666666666667,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.125,0.08333333333333333,0.0,0.0,0.25,0.2916666666666667,0.08333333333333333,0.125,0.875,0.041666666666666664,0.0,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,6.979166666666667,0.2916666666666667,0.0,0.125,4.34375,8.864583333333334,0.0,0.0,0.125,0.041666666666666664
13,0.6829268292682927,4.219512195121951,0.36585365853658536,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.14634146341463414,0.12195121951219512,0.04878048780487805,0.07317073170731707,0.0,0.0,0.0,0.5365853658536586,0.04878048780487805,0.04878048780487805,0.0,0.1951219512195122,0.04878048780487805,0.0,0.04878048780487805,0.43902439024390244,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0,0.0,0.04878048780487805,0.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.23780487804878048,7.9939024390243905,0.4146341463414634,0.0,0.024390243902439025,9.78048780487805,19.4390243902439,0.12195121951219512,0.024390243902439025,0.1951219512195122,0.24390243902439024
14,0.39215686274509803,1.7303921568627452,0.2549019607843137,0.0392156862745098,1.2254901960784315,1.0294117647058822,0.0784313725490196,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0,0.0196078431372549,0.1568627450980392,0.13725490196078433,3.980392156862745,0.0196078431372549,0.0196078431372549,0.21568627450980393,0.29411764705882354,0.0196078431372549,0.0196078431372549,0.13725490196078433,0.0,0.0196078431372549,0.0392156862745098,0.0,0.0,0.09803921568627451,0.0,0.058823529411764705,2.8088235294117645,0.19607843137254902,0.13725490196078433,0.13725490196078433,5.823529411764706,10.897058823529411,0.0,0.0392156862745098,0.29411764705882354,0.5882352941176471
15,0.2,0.32,0.28,0.0,0.36,0.16,0.08,0.16,0.44,0.24,0.04,0.0,0.0,0.04,0.08,0.0,1.56,0.12,0.28,0.04,0.04,0.12,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.04,0.27,0.04,0.0,0.04,3.34,4.74,0.04,0.12,0.28,0.08
16,0.2,1.05,0.1,0.1,1.8,0.6,0.3,0.2,0.1,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6.3,0.3,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0,2.2,3.875,0.0,0.0,0.0,1.1
17,1.1850649350649352,1.4772727272727273,0.3409090909090909,0.025974025974025976,0.03896103896103896,0.11688311688311688,0.07792207792207792,0.22077922077922077,0.012987012987012988,0.025974025974025976,0.05194805194805195,0.012987012987012988,0.07792207792207792,0.07792207792207792,0.025974025974025976,0.012987012987012988,0.03896103896103896,0.05194805194805195,0.18181818181818182,0.03896103896103896,0.025974025974025976,0.551948051948052,0.03896103896103896,0.012987012987012988,0.03896103896103896,0.07792207792207792,0.0,0.012987012987012988,0.0,0.03896103896103896,0.0,0.025974025974025976,0.05194805194805195,0.07792207792207792,5.737012987012987,0.24675324675324675,0.0,0.012987012987012988,4.665584415584416,7.941558441558442,0.025974025974025976,0.09090909090909091,0.22077922077922077,0.11688311688311688
18,0.14285714285714285,0.6071428571428571,0.7857142857142857,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.8571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.03571428571428571,0.10714285714285714,0.5,0.03571428571428571,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.03571428571428571,0.21428571428571427,0.0,0.0,0.0,5.741071428571429,11.428571428571429,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.0
19,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.45454545454545453,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,2.9318181818181817,3.6818181818181817,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091
20,0.375,3.765625,0.5078125,0.0,0.0,0.125,0.28125,0.09375,0.0,0.0,0.09375,0.0,0.34375,0.03125,0.03125,0.0,0.28125,0.0625,0.375,0.09375,0.0625,0.28125,0.09375,0.0,0.0,0.09375,0.03125,0.03125,0.0,0.03125,0.0,0.03125,0.0,0.0,0.28125,0.125,0.03125,0.0,6.140625,14.46875,0.03125,0.0625,0.1875,0.3125
21,0.8727272727272727,4.140909090909091,0.38181818181818183,0.03636363636363636,0.01818181818181818,0.09090909090909091,0.09090909090909091,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.0,0.05454545454545454,0.9,0.03636363636363636,0.03636363636363636,0.01818181818181818,0.10909090909090909,0.09090909090909091,0.05454545454545454,0.03636363636363636,0.43636363636363634,0.0,0.0,0.03636363636363636,0.01818181818181818,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.05454545454545454,0.05454545454545454,4.072727272727272,0.14545454545454545,0.05454545454545454,0.03636363636363636,10.745454545454546,19.836363636363636,0.6863636363636364,0.16363636363636364,0.2545454545454545,0.21818181818181817
22,0.17355371900826447,4.330578512396694,0.3987603305785124,0.049586776859504134,1.6962809917355373,1.1136363636363635,0.2892561983471074,0.024793388429752067,0.48760330578512395,0.8657024793388429,0.35537190082644626,0.0,0.03305785123966942,0.08264462809917356,0.12396694214876033,0.04132231404958678,0.03305785123966942,0.11570247933884298,1.4090909090909092,0.04132231404958678,0.04132231404958678,0.3181818181818182,0.4380165289256198,0.024793388429752067,0.04132231404958678,0.03305785123966942,0.3450413223140496,0.0,0.04132231404958678,0.0,0.049586776859504134,0.14049586776859505,0.03305785123966942,0.049586776859504134,0.17355371900826447,0.10743801652892562,0.0,1.5185950413223142,10.210743801652892,19.90289256198347,0.09090909090909091,0.06611570247933884,0.21694214876033058,1.0743801652892562
