Object,panCK,HistoneH3,SMA,CD7,CD11b,Arg1,CD146,EGFR,CD45,CD31,MMP9,CD20,CD204,p53,CD3,Lamp3,CD11c,PD1,CD73,Bcl2,GATA3,CD155,CD10,NKG2A,FOXP3,CXCL13,CD8a,EOMES,CD137,CD134,CD209,CD56,Tbet,GITR,Ecad,Tim3,CXCL8,CD66b,DNA1,DNA2,Ki67,Podoplanin,IgG,CD15
1,0.5333333333333333,6.883333333333334,0.3333333333333333,0.0,0.06666666666666667,0.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3.35,5.95,0.0,0.0,0.26666666666666666,1.0833333333333333
2,0.36363636363636365,4.613636363636363,0.36363636363636365,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,1.6590909090909092,3.659090909090909,0.0,0.0,0.6363636363636364,0.6363636363636364
3,0.5,3.0833333333333335,0.0,0.0,0.5833333333333334,1.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.3333333333333333,3.5,5.166666666666667,0.0,0.16666666666666666,1.4166666666666667,2.3333333333333335
4,0.3076923076923077,5.365384615384615,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,2.6923076923076925,4.461538461538462,0.15384615384615385,0.0,0.38461538461538464,2.0384615384615383
5,0.4117647058823529,2.073529411764706,0.17647058823529413,0.058823529411764705,0.0,0.17647058823529413,0.23529411764705882,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.47058823529411764,0.11764705882352941,0.0,0.0,0.29411764705882354,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.7647058823529411,0.11764705882352941,0.0,0.0,3.4411764705882355,6.1911764705882355,0.058823529411764705,0.11764705882352941,0.7941176470588235,1.1764705882352942
6,0.5217391304347826,3.9565217391304346,0.41304347826086957,0.0,0.13043478260869565,0.34782608695652173,0.08695652173913043,0.0,0.17391304347826086,0.08695652173913043,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.8260869565217391,0.13043478260869565,0.0,0.13043478260869565,0.08695652173913043,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.08695652173913043,0.717391304347826,0.30434782608695654,0.0,0.0,4.804347826086956,9.902173913043478,0.08695652173913043,0.08695652173913043,0.6086956521739131,1.2608695652173914
7,0.7878787878787878,3.3257575757575757,0.3333333333333333,0.0,0.09090909090909091,0.24242424242424243,0.18181818181818182,0.0,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.0,0.21212121212121213,0.09090909090909091,0.030303030303030304,0.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.030303030303030304,0.09090909090909091,0.6060606060606061,0.030303030303030304,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.3939393939393939,0.24242424242424243,0.09090909090909091,0.0,10.068181818181818,16.765151515151516,0.06060606060606061,0.030303030303030304,0.21212121212121213,0.42424242424242425
8,1.0,5.434210526315789,0.3684210526315789,0.0,0.10526315789473684,0.3157894736842105,0.3684210526315789,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.3157894736842105,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.0,0.5263157894736842,0.21052631578947367,0.05263157894736842,0.0,1.4210526315789473,2.486842105263158,0.10526315789473684,0.21052631578947367,1.105263157894737,1.855263157894737
9,0.45454545454545453,1.3068181818181819,0.09090909090909091,0.0,2.897727272727273,0.4090909090909091,0.5681818181818182,0.045454545454545456,0.8181818181818182,0.13636363636363635,1.3636363636363635,0.0,0.22727272727272727,0.0,0.045454545454545456,0.045454545454545456,0.6363636363636364,0.09090909090909091,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.5454545454545454,0.13636363636363635,0.0,0.0,0.22727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,0.0,1.0,0.36363636363636365,0.2727272727272727,1.5340909090909092,1.7954545454545454,4.409090909090909,0.045454545454545456,0.09090909090909091,0.5,1.8181818181818181
10,0.34,7.23,0.56,0.0,0.02,0.22,0.18,0.08,0.06,0.04,0.02,0.02,0.06,0.2,0.06,0.06,0.18,0.14,0.18,0.02,0.06,0.68,0.12,0.02,0.0,0.14,0.02,0.04,0.08,0.0,0.02,0.04,0.02,0.08,1.275,0.16,0.06,0.0,7.585,13.4,0.14,0.08,0.48,2.415
